post_author,post_author_link,post_content,post_time,author_postCount,author_joinDate,post_head
AbhayaSingh,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=180567,"mikronauts wrote:
Se my article:

http://www.mikronauts.com/raspberry-pi/ ... and-howto/

AbhayaSingh wrote:
As raspberry pi takes digital input rather than analog input, we need to send signal to pi as digital. Normally for one analog input, we can resolve the matter with SPI or using 8 digital pins of raspberry pi depending upon what sort of A.D.C chip is used. For our project for the power quality improvement, i need to use 12 Analog signals of voltage and current and convert into the digital signal equivalent to it, what might be the way of the interface to pi so that we can convert 12 Analog signal into the digital signal in real time and process the data of it using the raspberry pi.
Thank you.



Thank you mikronauts, that's what i had been looking after. Well, i go through it and report back the problems , confusion and suggestion after going through it."," Mon Mar 07, 2016 11:55 am",3,"Sun Mar 06, 2016 7:47 am","How to use multiple A.D.C with raspberry pi ?"
AbhishekRawal,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=116458,"Hello,
I am looking for some guidance related to voice controlled home automation. My current task is to control home switches by voice. Something like when I say ""Jiggles, Switch high"" & it turns ON the switch. And when I say ""Jiggles, Lights 75"" & it sets the intensity of LED to 75%.
I have done research & I found that http://www.lightwaverf.com/ sells devices which have wifi link, but I don't want to use it. I want to make possible changes in making a normal switch which can perform the task I want. In short I don't want to use readymade switch, I want to create one. How can I do that ?

Plus, I would like to know what other components I will need apart from RPi & microphone to set this up.
Thanks in advance."," Fri Aug 01, 2014 8:44 pm",4,"Fri Aug 01, 2014 8:31 pm","Voice Controlled Home Automation Related Quer"
aborge,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=97051,"Hey. I have some problems with my temperature sensor. It gets really hot after dome seconds when booting, ans i Think I have wired everything right. My plan is to wire ground(black) from sensor to GND, power(red) to 3.3v (3v3) and data(yellow) to cpio 4(p7). + 4.7 ohm resistor between data and power line. I have checked that the resistor is turned the right way. See pictures."," Fri Jan 10, 2014 3:43 pm",16,"Fri Jan 10, 2014 3:25 pm","DS18b20 too hot"
absolutspl,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=174385,"How is this project coming along? I am looking into doing something very similar.
I have purposed a few Pis around (temp& humidity, Instant message server,...)."," Thu Jan 21, 2016 8:30 am",1,"Thu Jan 21, 2016 8:26 am","Compressor Air Pressure Gauge Logger"
achrn,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=57208,"lifebeginsatsixty wrote:
Currently what programming I might do is ""done"" by the little gizmo called a PID controller. You give it a target temperature, hook it up to the sensor (mine uses a PT-100) and the relay control side. The 220v wiring to the rice cooker and a 220v cord to plug it all in and that's all. The PID controller has the ""programming"" inside and you never see it.


There isn't much 'programming' to a PID loop, and in fast-moving applications you get 95% of the benefit in the P alone. In slow-moving ones (such as sous-vide, which it seems we are discussing) you get 90% in the P the next 9% of benefit in the I.

The programming you don't get to see is the optimisation of the three magic parameters that go into the PID algorithm. This (the 'tuning') is what uses proprietary approaches / fuzziness / adaptiveness etc.

If you want to implement PID (or PI, or P) controller, the best reference I know of is to start reading at http://brettbeauregard.com/blog/2011/04 ... roduction/ As I understand it, Brett is a professional programmer-of-PID-code. Last I corresponded with him, his employer wouldn't let him talk about tuning (non-disclosure clauses in employment contracts etc) but in all other respects that series of articles is excellent. The code examples are all in Arduino, but it's all explained very clearly. As long as your maths is up to it, implementing it in another language is easy if you follow step-by-step through the articles."," Thu Jan 09, 2014 7:10 am",140,"Wed Feb 13, 2013 6:22 am","TUTORIAL: DS18B20 temp sensor. No C or Python"
achurch0607,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=109374,"Very Cool. I am working on something similar and I really like the way you did the countdown. I think you said you are using pygame to make countdown timer. Any help getting the pygame window to overlay on the picamera would be great. I am new to pygame and am struggling to get it working with the picamera module."," Wed May 07, 2014 5:10 pm",3,"Wed May 07, 2014 5:07 pm","Thought id share: Wedding Photo Booth [FULL S"
acmThinks,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=148966,"I followed the same steps you outlined (*extremely* helpful, thank you!) When I held up my blue RFID keychain or the card right up to the RFID spirals on the chip it worked (the card and chain UID's popped up on my terminal). I edited the read.py script and replaced the variables for cardA and cardB with the UID's of the keychain and card so I wouldn't get that ""wrong card"" status message. Rightfully so, each keytag and card has a unique ID, so a quick mod to the read.py script does the trick.

Are you still having problems?"," Tue May 26, 2015 6:23 pm",1,"Tue May 26, 2015 6:08 pm","Raspberry PI 2 and RC522 Problem reading data"
adam512,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=144553,"hello there. any progress on this. i also intent to make my own app. thanks."," Thu May 14, 2015 6:30 am",4,"Fri Apr 17, 2015 2:52 am","Make an Android App to control GPIO pins"
adcooney,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=151515,"No. Wireless you need a separate wireless receiver (available on amazon or with a wireless 360 controller for pc). Wired is just a wired controller. Plug n play does not work."," Sat Apr 23, 2016 2:57 pm",22,"Sat Jun 20, 2015 11:04 am","Moonlight on RPi 3"
add2rahul,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=162253,"Hi,

USB adapters are too costly. I think linksys SPA3102 is cheaper than that and seems to do what we are discussing here.
It is a nice device to do it but that is not available in India.
Has anyone get it working using some other device/SW?

regards
Rahul"," Thu Oct 29, 2015 4:46 am",1,"Mon Oct 12, 2015 11:02 pm","Simple POTS/PSTN VoIP bridge"
admdebian,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=172549,"I see.
I'm in Europe, Italy and we have Euro ( at the moment... )"," Wed Jan 27, 2016 11:00 am",4,"Fri Jan 08, 2016 9:25 am","banknote and coins acceptor"
adream,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=24431,"great, thanks for this simple walkthrough much appreciated"," Sun Dec 30, 2012 7:46 pm",22,"Fri Jul 06, 2012 9:15 am","File sharing with OSX"
Adrianfu,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=167249,"I have had nothing to do with 3D printing. How expensive would it be to print Ozzytoms case?

Adrian"," Mon Jan 25, 2016 12:51 am",42,"Tue Dec 01, 2015 12:13 am","Cases for Pi and 7"" touch screen?"
adrianobrum,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=79266,"Now you can use a P047 LCD to see the temperatue and the cpu usage."," Sat Dec 05, 2015 7:34 pm",5,"Thu Aug 08, 2013 6:18 pm","Control your room temperature"
AdvancedNewbie,https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=41394,"I have since updated my software and it has a new home... http://www.yieldbuddy.com This could very easily be modified for aquarium use with ORP probes, etc... Actually the phidgets pH module I'm using does ORP as well, just a 0 - 5V signal and the formula's on their datasheet. I've just added email alerts, along with the features that were there already; set points, web cam, graphs, timers, relay control, etc... all accessible via the web interface. I'm going to be adapting some old touchscreen code I made before into this project as well. But the web interface is pretty much done."," Sat Mar 30, 2013 3:38 pm",3,"Mon Nov 05, 2012 6:52 am","Aquarium monitor"
"ady agung syahputra",https://www.raspberrypi.org/forums/memberlist.php?mode=viewprofile&u=171349,"I'm working on a project but I'm having a problem, the problem is how to control the servo using the camera, when the camera detects the color red, for example, to rotate the servo into the right direction, I am constrained on the program,
Please help master

i have code for detect color
import cv2
import numpy as np

cap = cv2.VideoCapture(0)

while(1):

# Take each frame
_, frame = cap.read()

# Convert BGR to HSV
hsv = cv2.cvtColor(frame, cv2.COLOR_BGR2HSV)

# define range of blue color in HSV
lower_blue = np.array([110,50,50])
upper_blue = np.array([130,255,255])

# Threshold the HSV image to get only blue colors
mask = cv2.inRange(hsv, lower_blue, upper_blue)

# Bitwise-AND mask and original image
res = cv2.bitwise_and(frame,frame, mask= mask)

cv2.imshow('frame',frame)
cv2.imshow('mask',mask)
cv2.imshow('res',res)
k = cv2.waitKey(5) & 0xFF
if k == 27:
break

cv2.destroyAllWindows()

and i have code for control servo

import RPi.GPIO as GPIO

import time

GPIO.setmode(GPIO.BOARD)

GPIO.setup(18,GPIO.OUT)

p = GPIO.PWM(18,50) #sets pin 21 to PWM and sends 50 signals per second

p.start(7.5) #starts by sending a pulse at 7.5% to center the servo

try: # I still donâ€™t know what this does

while True: #starts an infinite loop

p.ChangeDutyCycle(4.5) #sends a 4.5% pulse to turn the servo CCW

time.sleep(0.5) #continues for a half a second

p.ChangeDutyCycle(10.5) #sends a 10.5% pulse to turn the servo CW

time.sleep(0.5) #continues for a half a second

p.ChangeDutyCycle(7.5) #sends a 7.5% pulse to center the servo again

time.sleep(0.5) #continues for a half a second

except KeyboardInterrupt:

p.stop()

GPIO.cleanup() #supposed to stop when a key is pressed, doesnâ€™t work


How do I incorporate it?"," Fri Jan 01, 2016 12:57 am",1,"Fri Jan 01, 2016 12:42 am","How to control the servo when it detects colo"
